year,month,Complexity,Concentration of conditions,Conditions of affected people,Geographical Impact,Human Impact,INFORM Severity Index,INFORM Severity category,INFORM Severity category (numeric),Impact of the crisis,Last updated,Operating environment,People in need,Reliability,Society and safety,_internal_filter_date,connected_crises,country,country_level,crisis_id,crisis_name,drivers,individual_aggregated,iso3,regional_or_country,regions
2022,1,3.2,3.0,3.7,2.7,3.9,3.5,High,4.0,3.6,2021-10-19,3.5,4.4,Medium,2.9,2022-01-01,"[""VEN001""]","[""Colombia""]",No,COL002,Displacement from Venezuela to Colombia,,Individual,"[""COL""]",Country,"[""Americas""]"
2022,1,1.0,1.0,1.1,1.0,1.5,1.1,Low,2.0,1.3,2021-10-26,1.0,1.1,Medium,0.9,2022-01-01,"[""NIC001""]","[""Costa Rica""]",Yes,CRI002,Displacement from Nicaragua to Costa Rica,,Individual,"[""CRI""]",Country,"[""Americas""]"
2022,1,3.1,3.0,2.7,3.1,2.0,2.7,Medium,3.0,2.4,2022-01-30,3.5,2.3,Very High,2.6,2022-01-01,,"[""Djibouti""]",Yes,DJI001,Multiple crises in Djibouti,,Aggregated,"[""DJI""]",Country,"[""Africa""]"
2022,1,2.6,1.0,1.0,3.1,1.3,1.7,Low,2.0,2.0,2022-01-30,2.5,0.9,Very High,2.6,2022-01-01,,"[""Djibouti""]",No,DJI002,International Displacement to Djibouti,,Individual,"[""DJI""]",Country,"[""Africa""]"
2022,1,3.1,3.0,2.6,3.1,1.4,2.6,Medium,3.0,2.0,2022-01-30,3.5,2.1,High,2.6,2022-01-01,,"[""Djibouti""]",No,DJI003,Drought in Djibouti,,Individual,"[""DJI""]",Country,"[""Africa""]"
2022,1,2.4,,,5.0,4.2,,,,4.5,2021-10-21,1.5,,Very Low,3.1,2022-01-01,"[""ESP002"", ""ITA002""]","[""Algeria""]",No,DZA002,International displacement to Algeria,,Individual,"[""DZA""]",Country,"[""Africa""]"
2022,1,2.4,3.0,2.3,1.1,2.6,2.3,Medium,3.0,2.2,2021-10-21,1.5,1.6,Medium,3.1,2022-01-01,,"[""Algeria""]",No,DZA003,Displacement of Sahrawi refugees to Tindouf,,Individual,"[""DZA""]",Country,"[""Africa""]"
2022,1,2.6,,,5.0,4.0,,,,4.4,2021-10-21,2.0,,Very Low,3.1,2022-01-01,,"[""Algeria""]",Yes,DZA004,Multiple crises in Algeria,,Aggregated,"[""DZA""]",Country,"[""Africa""]"
2022,1,1.8,3.0,2.9,1.4,2.2,2.3,Medium,3.0,1.9,2021-10-27,1.5,2.7,Medium,2.1,2022-01-01,"[""VEN001""]","[""Ecuador""]",No,ECU002,Displacement from Venezuela to Ecuador,,Individual,"[""ECU""]",Country,"[""Americas""]"
2022,1,2.3,2.0,2.4,2.4,2.3,2.3,Medium,3.0,2.3,2021-10-21,1.5,2.8,Medium,3.0,2022-01-01,"[""SYR003""]","[""Egypt""]",No,EGY002,Syrian refugee crisis in Egypt,,Individual,"[""EGY""]",Country,"[""Africa""]"
2022,1,4.3,3.0,3.5,3.8,3.1,3.7,High,4.0,3.4,2021-10-29,5.0,4.0,Medium,3.3,2022-01-01,"[""ETH004"", ""ETH003""]","[""Eritrea""]",Yes,ERI001,Complex crisis in Eritrea,,Individual,"[""ERI""]",Country,"[""Africa""]"
2022,1,1.7,1.0,1.4,2.2,2.6,1.8,Low,2.0,2.5,2021-10-25,1.5,1.8,Medium,1.8,2022-01-01,"[""DZA002"", ""TUN002"", ""MAR002"", ""LBY002""]","[""Spain""]",Yes,ESP002,International displacement to Spain,,Individual,"[""ESP""]",Country,"[""Europe""]"
2022,1,4.2,5.0,5.0,5.0,4.7,4.7,Very High,5.0,4.8,2022-01-30,4.5,5.0,High,3.8,2022-01-01,,"[""Ethiopia""]",Yes,ETH001,Multiple crises in Ethiopia,,Aggregated,"[""ETH""]",Country,"[""Africa""]"
2022,1,3.4,2.0,2.6,5.0,2.2,3.1,High,4.0,3.5,2022-01-30,3.0,3.2,Very High,3.8,2022-01-01,,"[""Ethiopia""]",No,ETH003,International Displacement to Ethiopia,,Individual,"[""ETH""]",Country,"[""Africa""]"
2022,1,4.2,4.0,4.5,3.0,4.7,4.4,Very High,5.0,4.3,2022-01-30,4.5,5.0,High,3.8,2022-01-01,,"[""Ethiopia""]",No,ETH004,Northern Ethiopia,,Individual,"[""ETH""]",Country,"[""Africa""]"
2022,1,1.9,2.0,1.2,0.3,2.5,1.6,Low,2.0,1.9,2021-12-29,2.0,0.4,High,1.7,2022-01-01,"[""TUR003""]","[""Greece""]",Yes,GRC002,International Displacement to Greece,,Individual,"[""GRC""]",Country,"[""Europe""]"
2022,1,2.9,3.0,3.7,4.4,3.5,3.5,High,4.0,3.8,2021-11-16,2.5,4.3,Very High,3.3,2022-01-01,,"[""Guatemala""]",Yes,GTM001,Climatic Shocks and Violence in Guatemala,,Individual,"[""GTM""]",Country,"[""Americas""]"
2022,1,3.1,4.0,4.1,4.2,3.5,3.7,High,4.0,3.8,2021-11-17,3.0,4.2,Very High,3.1,2022-01-01,,"[""Honduras""]",Yes,HND001,Climatic Shocks and Conflict and Violence in Honduras,,Individual,"[""HND""]",Country,"[""Americas""]"
2022,1,3.1,5.0,4.8,4.0,3.7,4.1,Very High,5.0,3.8,2021-10-26,3.0,4.5,High,3.1,2022-01-01,,"[""Haiti""]",Yes,HTI001,Complex crisis in Haiti,,Individual,"[""HTI""]",Country,"[""Americas""]"
2022,1,3.1,3.0,3.0,2.4,3.4,3.1,High,4.0,3.1,2021-10-26,3.0,3.0,High,3.1,2022-01-01,,"[""Haiti""]",No,HTI002,Nippes Earthquake ,,Individual,"[""HTI""]",Country,"[""Americas""]"
2022,1,3.0,1.0,1.2,1.9,3.2,2.1,Medium,3.0,2.8,2022-01-23,3.5,1.3,Medium,2.5,2022-01-01,,"[""Indonesia""]",No,IDN002,Conflict in Papua,,Individual,"[""IDN""]",Country,"[""Asia""]"
2022,1,1.9,,,2.0,3.2,,,,2.8,2022-01-23,1.0,,Very Low,2.6,2022-01-01,"[""PAK004""]","[""India""]",No,IND002,Conflict in Jammu and Kashmir,,Individual,"[""IND""]",Country,"[""Asia""]"
2022,1,2.7,4.0,4.1,2.7,2.8,3.4,High,4.0,2.8,2021-12-28,2.5,4.2,High,2.8,2022-01-01,,"[""Iran""]",Yes,IRN004,Displacement from Afghanistan to Iran,,Individual,"[""IRN""]",Country,"[""Middle east""]"
2022,1,4.1,3.0,3.6,4.9,3.9,3.9,High,4.0,4.3,2022-01-23,4.5,4.1,High,3.6,2022-01-01,"[""IRQ002"", ""IRQ003""]","[""Iraq""]",Yes,IRQ001,Multiple crises in Iraq,,Aggregated,"[""IRQ""]",Country,"[""Middle east""]"
2022,1,4.1,3.0,3.5,4.9,3.9,3.9,High,4.0,4.3,2022-01-23,4.5,4.0,Very High,3.6,2022-01-01,"[""IRQ001""]","[""Iraq""]",Yes,IRQ002,Internal displacement in Iraq,,Individual,"[""IRQ""]",Country,"[""Middle east""]"
2022,1,3.6,3.0,2.9,1.5,2.0,2.9,Medium,3.0,1.8,2022-01-23,3.5,2.8,Medium,3.6,2022-01-01,"[""IRQ001"", ""SYR003""]","[""Iraq""]",No,IRQ003,Displacement from Syria to Iraq,,Individual,"[""IRQ""]",Country,"[""Middle east""]"
2022,1,1.5,1.0,1.6,1.7,3.1,1.9,Low,2.0,2.7,2021-10-25,1.5,2.2,Medium,1.5,2022-01-01,"[""TUN002"", ""MAR002"", ""LBY002"", ""DZA002""]","[""Italy""]",Yes,ITA002,International Displacement to Italy,,Individual,"[""ITA""]",Country,"[""Europe""]"
2022,1,2.0,3.0,3.1,3.0,2.6,2.7,Medium,3.0,2.7,2022-01-23,1.5,3.1,High,2.5,2022-01-01,"[""SYR003""]","[""Jordan""]",Yes,JOR002,International displacement from Syria to Jordan,,Individual,"[""JOR""]",Country,"[""Middle east""]"
2022,1,2.6,3.0,3.6,3.8,2.6,3.2,High,4.0,3.1,2021-12-17,2.5,4.2,High,2.7,2022-01-01,,"[""Kenya""]",Yes,KEN001,Multiple crises in Kenya,,Aggregated,"[""KEN""]",Country,"[""Africa""]"
2022,1,2.4,3.0,3.0,0.8,2.6,2.6,Medium,3.0,2.1,2021-12-17,2.0,2.9,High,2.7,2022-01-01,"[""SSD001"", ""SOM001""]","[""Kenya""]",No,KEN002,International displacement to Kenya,,Individual,"[""KEN""]",Country,"[""Africa""]"
2022,1,2.4,3.0,3.6,3.8,1.1,2.9,Medium,3.0,2.2,2021-12-17,2.0,4.1,Medium,2.7,2022-01-01,"[""SOM001"", ""ETH005""]","[""Kenya""]",No,KEN003,Drought in ASAL areas of Kenya,,Individual,"[""KEN""]",Country,"[""Africa""]"
2022,1,2.7,4.0,3.8,3.6,3.0,3.3,High,4.0,3.2,2022-01-23,2.5,3.6,High,2.8,2022-01-01,"[""SYR003""]","[""Lebanon""]",No,LBN002,International displacement from Syria to Lebanon,,Individual,"[""LBN""]",Country,"[""Middle east""]"
2022,1,2.9,4.0,4.1,3.6,2.5,3.5,High,4.0,2.9,2022-01-23,3.0,4.2,Medium,2.8,2022-01-01,,"[""Lebanon""]",No,LBN004,Socioeconomic crisis in Lebanon,,Individual,"[""LBN""]",Country,"[""Middle east""]"
2022,1,3.8,4.0,3.8,4.6,3.7,3.8,High,4.0,4.0,2021-10-27,4.0,3.5,Medium,3.6,2022-01-01,,"[""Libya""]",No,LBY001,Complex crisis in Libya,,Individual,"[""LBY""]",Country,"[""Africa""]"
2022,1,3.1,2.0,2.3,4.6,3.4,3.0,Medium,3.0,3.9,2021-10-27,2.5,2.6,High,3.6,2022-01-01,"[""ITA002"", ""ESP002""]","[""Libya""]",No,LBY002,International displacement to Libya,,Individual,"[""LBY""]",Country,"[""Africa""]"
2022,1,1.3,3.0,2.8,3.0,1.5,2.2,Medium,3.0,2.1,2022-01-30,1.0,2.5,Very High,1.6,2022-01-01,,"[""Lesotho""]",No,LSO002,Drought in Lesotho,,Individual,"[""LSO""]",Country,"[""Africa""]"
2022,1,2.4,,,4.8,3.2,,,,3.9,2021-10-25,1.5,,Very Low,3.1,2022-01-01,"[""ESP002"", ""ITA002""]","[""Morocco""]",Yes,MAR002,International displacement to Morocco,,Individual,"[""MAR""]",Country,"[""Africa""]"
2022,1,1.9,3.0,3.4,3.2,2.1,2.7,Medium,3.0,2.5,2022-01-30,1.5,3.7,Very High,2.3,2022-01-01,"[""MDG002"", ""MDG007"", ""MDG008""]","[""Madagascar""]",No,MDG001,Multiple crisis in Madagascar,,Aggregated,"[""MDG""]",Country,"[""Africa""]"
2022,1,1.9,4.0,3.9,2.2,2.2,2.9,Medium,3.0,2.2,2022-01-30,1.5,3.7,Very High,2.3,2022-01-01,"[""MWI002"", ""NAM002"", ""TZA003"", ""SWZ001"", ""ZMB002"", ""ZWE001""]","[""Madagascar""]",Yes,MDG002,Drought in Southern Madagascar,,Individual,"[""MDG""]",Country,"[""Africa""]"
2022,1,1.7,1.0,1.2,2.8,2.5,1.7,Low,2.0,2.6,2022-01-30,1.0,1.4,Very High,2.3,2022-01-01,"[""MWI004""]","[""Madagascar""]",No,MDG006,Tropical Cyclones Season in 2022 in Madagascar,,Individual,"[""MDG""]",Country,"[""Africa""]"
2022,1,3.0,,,5.0,2.8,,,,3.8,2021-10-20,3.0,,High,3.0,2022-01-01,,"[""Mexico""]",Yes,MEX001,Multiple crisis in Mexico,,Aggregated,"[""MEX""]",Country,"[""Americas""]"
2022,1,3.3,,,5.0,3.4,,,,4.1,2021-10-19,3.5,,Medium,3.0,2022-01-01,,"[""Mexico""]",No,MEX002,Criminal Violence in Mexico,,Individual,"[""MEX""]",Country,"[""Americas""]"
2022,1,3.0,,,5.0,2.8,,,,3.8,2021-10-20,3.0,,High,3.0,2022-01-01,"[""GTM003"", ""SLV001"", ""HND001""]","[""Mexico""]",Yes,MEX003,International Displacement to Mexico,,Individual,"[""MEX""]",Country,"[""Americas""]"
2022,1,4.3,4.0,4.3,4.9,3.7,4.3,Very High,5.0,4.2,2021-11-19,5.0,4.6,Medium,3.1,2022-01-01,,"[""Mali""]",Yes,MLI001,Complex crisis in Mali,,Individual,"[""MLI""]",Country,"[""Africa""]"
2022,1,3.9,4.0,4.5,4.9,4.0,4.3,Very High,5.0,4.4,2022-01-24,4.0,5.0,Very High,3.7,2022-01-01,,"[""Myanmar""]",Yes,MMR001,Multiple crises in Myanmar,,Aggregated,"[""MMR""]",Country,"[""Asia""]"
2022,1,3.9,4.0,3.8,1.3,3.4,3.6,High,4.0,2.8,2022-01-24,4.0,3.6,Very High,3.7,2022-01-01,,"[""Myanmar""]",No,MMR002,Conflict in Rakhine,,Individual,"[""MMR""]",Country,"[""Asia""]"
2022,1,3.6,4.0,4.1,2.4,3.1,3.7,High,4.0,2.9,2022-01-24,3.5,4.1,Very High,3.7,2022-01-01,,"[""Myanmar""]",No,MMR003,Conflict in Kachin and Shan,,Individual,"[""MMR""]",Country,"[""Asia""]"
2022,1,3.6,4.0,4.5,4.1,3.5,4.1,Very High,5.0,3.7,2022-01-24,3.5,5.0,Very High,3.7,2022-01-01,,"[""Myanmar""]",No,MMR004,Post-coup conflict in Myanmar,,Individual,"[""MMR""]",Country,"[""Asia""]"
2022,1,3.6,3.0,3.3,4.0,3.3,3.5,High,4.0,3.6,2022-01-31,3.5,3.6,Very High,3.7,2022-01-01,"[""MOZ004"", ""MOZ008"", ""MOZ009"", ""MOZ010""]","[""Mozambique""]",Yes,MOZ001,Multiple Crises in Mozambique,,Aggregated,"[""MOZ""]",Country,"[""Africa""]"
2022,1,3.4,3.0,3.3,2.8,4.0,3.4,High,4.0,3.7,2022-01-31,3.0,3.5,High,3.7,2022-01-01,,"[""Mozambique""]",No,MOZ004,Conflict in Cabo Delgado,,Individual,"[""MOZ""]",Country,"[""Africa""]"
2022,1,3.2,1.0,1.5,3.3,2.4,2.3,Medium,3.0,2.7,2022-01-31,2.5,1.9,High,3.7,2022-01-01,"[""MWI004"", ""MDG006""]","[""Mozambique""]",No,MOZ008,2022 Tropical Cyclone Seasons in Mozambique,,Individual,"[""MOZ""]",Country,"[""Africa""]"
2022,1,2.2,3.0,2.3,0.0,2.5,2.1,Medium,3.0,1.8,2021-10-25,2.0,1.5,High,2.4,2022-01-01,"[""MLI001""]","[""Mauritania""]",No,MRT002,Displacement from Mali to Mauritania,,Individual,"[""MRT""]",Country,"[""Africa""]"
2022,1,2.2,3.0,2.9,4.4,2.8,2.8,Medium,3.0,3.4,2021-10-25,2.0,2.8,Medium,2.4,2022-01-01,,"[""Mauritania""]",No,MRT003,Climatic shocks in Mauritania,,Individual,"[""MRT""]",Country,"[""Africa""]"
2022,1,2.3,3.0,3.4,4.4,2.1,3.0,Medium,3.0,3.1,2022-01-31,2.5,3.7,Very High,2.0,2022-01-01,"[""NAM002"", ""TZA003"", ""SWZ001"", ""ZMB002"", ""ZWE001"", ""MDG002""]","[""Malawi""]",Yes,MWI002,Climatic shocks in Malawi,,Individual,"[""MWI""]",Country,"[""Africa""]"
2022,1,2.3,1.0,1.3,4.2,2.5,2.1,Medium,3.0,3.2,2022-01-31,2.5,1.5,Very High,2.0,2022-01-01,"[""MDG006""]","[""Malawi""]",No,MWI004,Tropical Cyclone Ana in Malawi,,Individual,"[""MWI""]",Country,"[""Africa""]"
2022,1,1.9,1.0,1.6,1.0,1.8,1.6,Low,2.0,1.5,2022-01-23,2.0,2.1,High,1.8,2022-01-01,"[""MMR002""]","[""Malaysia""]",Yes,MYS001,International Displacement to Malaysia,,Individual,"[""MYS""]",Country,"[""Asia""]"
2022,1,1.0,3.0,3.1,4.3,1.7,2.4,Medium,3.0,2.8,2022-01-30,0.5,3.1,High,1.5,2022-01-01,"[""MWI002"", ""TZA003"", ""SWZ001"", ""ZMB002"", ""ZWE001"", ""MDG002""]","[""Namibia""]",Yes,NAM002,Drought in Namibia,,Individual,"[""NAM""]",Country,"[""Africa""]"
2022,1,3.8,3.0,3.7,4.9,3.6,3.8,High,4.0,4.1,2021-11-22,4.5,4.3,Medium,2.8,2022-01-01,,"[""Niger""]",Yes,NER001,Multiple crises in Niger,,Aggregated,"[""NER""]",Country,"[""Africa""]"
2022,1,3.8,3.0,2.7,1.2,3.1,3.0,Medium,3.0,2.6,2021-10-30,4.5,2.4,Medium,2.8,2022-01-01,"[""CMR002"", ""TCD003"", ""NGA004""]","[""Niger""]",No,NER002,Conflict in Diffa region,,Individual,"[""NER""]",Country,"[""Africa""]"
2022,1,3.5,3.0,3.3,2.4,3.3,3.3,High,4.0,3.0,2021-10-29,4.0,3.5,Medium,2.8,2022-01-01,,"[""Niger""]",No,NER003,Cross-border violence in Niger,,Individual,"[""NER""]",Country,"[""Africa""]"
2022,1,2.7,3.0,3.1,0.6,2.7,2.7,Medium,3.0,2.1,2021-10-30,2.5,3.1,Medium,2.8,2022-01-01,,"[""Niger""]",No,NER004,International displacement from Nigeria to Niger,,Individual,"[""NER""]",Country,"[""Africa""]"
2022,1,4.4,3.0,4.0,4.3,4.2,4.2,Very High,5.0,4.2,2021-11-26,5.0,5.0,High,3.4,2022-01-01,"[""NER004"", ""CMR003""]","[""Nigeria""]",Yes,NGA001,Complex crisis in Nigeria,,Individual,"[""NGA""]",Country,"[""Africa""]"
2022,1,3.5,3.0,3.2,2.3,3.3,3.2,High,4.0,3.0,2021-11-26,3.5,3.3,High,3.4,2022-01-01,,"[""Nigeria""]",No,NGA003,Middle belt conflict,,Individual,"[""NGA""]",Country,"[""Africa""]"
2022,1,3.7,4.0,4.5,2.1,4.6,4.1,Very High,5.0,4.0,2021-11-26,4.0,4.9,Medium,3.4,2022-01-01,"[""NER002"", ""CMR002"", ""TCD003""]","[""Nigeria""]",No,NGA004,Conflict in the BAY states,,Individual,"[""NGA""]",Country,"[""Africa""]"
2022,1,3.7,3.0,3.7,2.8,3.5,3.6,High,4.0,3.3,2021-11-26,4.0,4.3,High,3.4,2022-01-01,"[""NER004""]","[""Nigeria""]",No,NGA007,Conflict in North West Nigeria,,Individual,"[""NGA""]",Country,"[""Africa""]"
2022,1,3.5,1.0,1.2,2.0,1.4,2.0,Low,2.0,1.6,2021-11-26,3.5,1.4,High,3.4,2022-01-01,"[""CMR003""]","[""Nigeria""]",No,NGA008,International displacement from Cameroon to Nigeria,,Individual,"[""NGA""]",Country,"[""Africa""]"
2022,1,2.5,,,4.1,2.0,,,,2.9,2021-10-28,2.0,,Low,2.9,2022-01-01,,"[""Nicaragua""]",Yes,NIC001,Political and Economic crisis in Nicaragua,,Individual,"[""NIC""]",Country,"[""Americas""]"
2022,1,3.4,2.0,3.5,5.0,3.7,3.6,High,4.0,4.2,2022-01-10,3.5,5.0,High,3.2,2022-01-01,,"[""Pakistan""]",Yes,PAK001,Complex crisis in Pakistan,,Individual,"[""PAK""]",Country,"[""Asia""]"
2022,1,2.9,,,1.0,0.0,,,,0.4,2022-01-10,2.5,,Low,3.2,2022-01-01,,"[""Pakistan""]",No,PAK004,Conflict in Azad Jammu & Kashmir,,Individual,"[""PAK""]",Country,"[""Asia""]"
2022,1,2.1,3.0,3.1,1.3,4.0,2.8,Medium,3.0,3.3,2021-11-22,1.5,3.1,Medium,2.7,2022-01-01,"[""VEN001""]","[""Peru""]",Yes,PER002,Displacement from Venezuela to Peru,,Individual,"[""PER""]",Country,"[""Americas""]"
2022,1,3.0,3.0,3.5,3.7,2.6,3.2,High,4.0,3.0,2022-01-23,3.0,4.0,High,2.9,2022-01-01,,"[""Philippines""]",Yes,PHL001,Multiple crises in the Philippines,,Aggregated,"[""PHL""]",Country,"[""Asia""]"
2022,1,2.7,1.0,1.4,3.0,2.6,2.1,Medium,3.0,2.7,2022-01-23,2.5,1.8,High,2.9,2022-01-01,,"[""Philippines""]",No,PHL003,Conflict in Mindanao,,Individual,"[""PHL""]",Country,"[""Asia""]"
2022,1,2.7,3.0,3.5,3.0,2.9,3.1,High,4.0,2.9,2022-01-23,2.5,4.0,High,2.9,2022-01-01,,"[""Philippines""]",No,PHL010,Typhoon RAI,,Individual,"[""PHL""]",Country,"[""Asia""]"
2022,1,2.5,4.0,4.5,4.6,3.5,3.8,High,4.0,3.9,2022-01-23,2.5,5.0,Medium,2.5,2022-01-01,,"[""DPRK""]",Yes,PRK001,Complex crisis in DPRK,,Individual,"[""PRK""]",Country,"[""Asia""]"
2022,1,3.6,4.0,4.0,3.4,3.9,3.8,High,4.0,3.7,2022-01-19,4.5,4.0,Very High,2.3,2022-01-01,"[""PSE003"", ""PSE004""]","[""Palestine""]",Yes,PSE002,Multiple crises in Palestine,,Aggregated,"[""PSE""]",Country,"[""Middle east""]"
2022,1,4.1,4.0,4.5,2.3,4.5,4.2,Very High,5.0,4.0,2021-10-30,4.5,4.9,Medium,3.6,2022-01-01,,"[""Nigeria"", ""Niger"", ""Chad"", ""Cameroon""]",No,REG001,Lake Chad basin regional crisis,,Individual,"[""NGA"", ""NER"", ""TCD"", ""CMR""]",Regional,"[""Africa"", ""Africa"", ""Africa"", ""Africa""]"
2022,1,3.6,3.0,4.0,2.9,4.5,3.9,High,4.0,4.1,2021-10-27,4.5,5.0,Low,2.3,2022-01-01,,"[""Venezuela"", ""Brazil"", ""Colombia"", ""Ecuador"", ""Peru"", ""Trinidad and Tobago"", ""Chile"", ""Dominican Republic"", ""Panama""]",No,REG002,Venezuela Regional Crisis,,Individual,"[""VEN"", ""BRA"", ""COL"", ""ECU"", ""PER"", ""TTO"", ""CHL"", ""DOM"", ""PAN""]",Regional,"[""Americas"", ""Americas"", ""Americas"", ""Americas"", ""Americas"", ""Americas"", ""Americas"", ""Americas"", ""Americas""]"
2022,1,2.8,,,2.1,3.7,,,,3.3,2022-01-23,2.5,,Very Low,3.0,2022-01-01,,"[""India"", ""Pakistan""]",No,REG003,Regional Kashmir conflict,,Individual,"[""IND"", ""PAK""]",Regional,"[""Asia"", ""Asia""]"
2022,1,4.4,4.0,4.5,3.1,4.2,4.3,Very High,5.0,3.9,2021-12-30,5.0,5.0,High,3.6,2022-01-01,"[""JOR003"", ""LBN002"", ""IRQ003"", ""TUR002"", ""EGY004""]","[""Syria"", ""T\u00fcrkiye"", ""Iraq"", ""Egypt"", ""Jordan"", ""Lebanon""]",No,REG004,Syrian Regional Crisis,,Individual,"[""SYR"", ""TUR"", ""IRQ"", ""EGY"", ""JOR"", ""LBN""]",Regional,"[""Middle east"", ""Middle east"", ""Middle east"", ""Africa"", ""Middle east"", ""Middle east""]"
