year_month,crisis_id,percent_affected_pop,people_in_minimal,people_in_stressed,people_in_moderate,people_in_severe,people_in_extreme
2022-02,NER001,100.0,83.7,0.3,15.3,0.7,0.0
2022-02,NER002,4.0,69.1,0.1,28.7,2.1,0.0
2022-02,NER003,35.3,83.9,0.1,15.6,0.4,0.0
2022-02,NER004,5.6,47.0,0.0,49.8,3.2,0.0
2022-02,NGA001,100.0,90.6,3.0,5.2,1.1,0.0
2022-02,NGA003,7.5,93.7,0.0,6.3,0.0,0.0
2022-02,NGA004,7.1,0.0,42.5,40.8,16.1,0.6
2022-02,NGA007,17.3,89.7,0.0,10.3,0.0,0.0
2022-02,NGA008,6.1,99.5,0.0,0.5,0.0,0.0
2022-02,NIC001,100.0,,,,0.0,0.0
2022-02,PAK001,100.0,70.0,25.2,4.3,0.5,0.0
2022-02,PAK004,1.9,,,,,
2022-02,PAN002,2.8,21.3,1.6,77.0,0.0,0.0
2022-02,PER002,32.3,80.7,3.4,15.9,0.0,0.0
2022-02,PHL001,41.2,75.0,19.1,5.9,0.0,0.0
2022-02,PHL003,24.1,99.0,0.0,1.0,0.0,0.0
2022-02,PHL010,17.1,41.2,45.9,12.9,0.0,0.0
2022-02,POL002,1.3,68.0,32.0,0.0,0.0,0.0
2022-02,PRK001,100.0,0.0,58.9,19.4,21.3,0.0
2022-02,PSE002,100.0,12.0,44.0,38.0,6.0,0.0
2022-02,REG001,7.2,31.4,22.0,24.1,21.9,0.6
2022-03,AFG001,100.0,14.1,27.5,36.1,22.2,0.0
2022-03,AGO002,8.3,19.8,30.7,37.6,11.9,0.0
2022-03,ARM002,100.0,95.0,0.6,2.2,0.0,0.0
2022-03,AZE002,58.7,,,,,
2022-03,BDI001,100.0,0.0,86.2,13.0,0.8,0.0
2022-03,BFA002,16.7,2.3,56.8,27.9,5.0,8.1
2022-03,BGD002,1.0,0.0,2.8,97.2,0.0,0.0
2022-03,BRA001,25.6,97.5,1.6,0.9,0.0,0.0
2022-03,BRA002,0.3,41.7,10.6,47.8,0.0,0.0
2022-03,BRA003,25.3,98.2,1.6,0.2,0.0,0.0
2022-03,CAF001,100.0,0.0,42.9,18.4,38.8,0.0
2022-03,CHL002,57.5,94.4,1.2,4.4,0.0,0.0
2022-03,CMR001,100.0,83.2,1.3,7.7,7.7,0.0
2022-03,CMR002,12.0,61.4,0.0,29.5,9.1,0.0
2022-03,CMR003,36.6,83.4,0.1,11.1,5.4,0.0
2022-03,CMR004,21.9,86.6,2.1,11.3,0.0,0.0
2022-03,COD001,26.3,5.6,35.2,46.3,10.7,2.2
2022-03,COG001,100.0,78.6,0.0,21.4,0.0,0.0
2022-03,COL001,100.0,78.2,6.7,8.8,5.7,0.6
2022-03,COL002,45.0,76.0,3.0,21.0,0.0,0.0
2022-03,CRI002,33.3,95.0,2.5,2.5,0.0,0.0
2022-03,DJI001,100.0,39.6,38.0,19.7,2.6,0.0
2022-03,DJI002,100.0,96.6,0.0,3.5,0.0,0.0
2022-03,DJI003,100.0,43.0,38.0,16.3,2.6,0.0
2022-03,DOM002,100.0,98.8,0.3,0.9,0.0,0.0
2022-03,DZA002,100.0,,,,,
2022-03,DZA003,0.5,22.0,37.7,40.4,0.0,0.0
2022-03,DZA004,100.0,,,,,
2022-03,ECU002,51.1,86.7,1.8,11.5,0.0,0.0
2022-03,EGY002,23.2,93.8,4.0,0.7,1.5,0.0
2022-03,ERI001,100.0,20.0,0.0,80.0,0.0,0.0
2022-03,ESP002,25.5,99.0,0.0,1.0,0.0,0.0
2022-03,ETH001,100.0,0.0,77.3,0.9,16.5,5.2
2022-03,ETH003,100.0,82.9,16.3,0.8,0.0,0.0
2022-03,ETH004,29.4,0.0,69.2,22.6,6.9,1.3
2022-03,ETH005,60.3,89.8,10.0,0.3,0.0,0.0
2022-03,GRC002,3.8,59.2,36.5,4.3,0.0,0.0
2022-03,GTM001,100.0,66.7,11.1,19.3,1.0,1.9
2022-03,HND001,100.0,57.4,7.5,28.5,6.5,0.0
2022-03,HTI001,100.0,36.2,17.4,23.4,13.8,9.2
2022-03,HTI002,59.0,87.6,2.3,10.1,0.0,0.0
2022-03,HUN002,6.2,18.2,81.8,0.0,0.0,0.0
2022-03,IDN002,1.5,97.2,0.0,2.8,0.0,0.0
2022-03,IND002,0.9,100.0,,,,
2022-03,IRN004,29.9,86.3,0.0,3.2,10.5,0.0
2022-03,IRQ001,100.0,84.5,8.9,3.3,2.1,1.1
2022-03,IRQ002,100.0,85.1,8.9,3.1,1.8,1.1
2022-03,IRQ003,12.5,90.6,0.0,6.1,3.0,0.4
2022-03,ITA002,10.9,97.0,0.0,3.0,0.0,0.0
2022-03,JOR002,80.6,78.9,13.2,6.1,1.8,0.0
2022-03,KEN001,31.0,6.4,72.0,18.7,3.0,0.0
2022-03,KEN002,2.0,50.7,0.0,49.3,0.0,0.0
2022-03,KEN003,31.0,6.9,74.7,15.5,3.0,0.0
2022-03,LBN002,100.0,55.6,22.0,11.2,10.5,0.7
2022-03,LBN004,100.0,44.4,5.4,29.6,20.0,0.7
2022-03,LBY001,100.0,81.7,8.5,9.7,0.1,0.0
2022-03,LBY002,100.0,85.6,2.9,3.3,0.0,0.0
2022-03,LSO002,70.3,41.3,35.8,21.1,1.8,0.0
2022-03,MAR002,97.6,,,,,
2022-03,MDA002,16.6,21.9,78.1,0.0,0.0,0.0
2022-03,MDG001,100.0,83.3,10.6,4.9,1.2,0.0
2022-03,MDG002,23.5,44.1,30.1,20.5,5.3,0.0
2022-03,MDG006,100.0,96.4,3.5,0.1,0.0,0.0
2022-03,MEX001,100.0,99.7,0.3,,,
2022-03,MEX002,103.8,99.7,0.3,,,
2022-03,MEX003,104.4,99.4,0.6,0.0,0.0,0.0
2022-03,MLI001,100.0,42.6,28.5,18.1,10.8,0.0
2022-03,MMR001,100.0,72.0,1.8,13.3,12.7,0.3
2022-03,MMR002,6.7,30.1,27.7,0.0,42.3,0.0
2022-03,MMR003,15.3,64.3,0.0,9.3,24.6,1.8
2022-03,MMR004,78.1,77.0,0.0,15.2,7.8,0.0
2022-03,MOZ001,70.7,48.2,41.2,10.5,0.1,0.0
2022-03,MOZ004,35.7,0.0,85.1,14.7,0.2,0.0
2022-03,MOZ008,62.6,96.1,0.0,3.9,0.0,0.0
2022-03,MRT002,2.3,11.6,0.0,89.5,0.0,0.0
2022-03,MRT003,100.0,63.2,24.9,11.4,0.0,0.0
2022-03,MWI002,100.0,83.7,4.2,1.0,0.0,0.0
2022-03,MWI004,88.9,97.6,2.0,0.5,0.0,0.0
2022-03,MYS001,12.5,95.2,0.0,4.8,0.0,0.0
2022-03,NAM002,100.4,37.8,32.8,24.8,4.7,0.0
2022-03,NER001,100.0,83.7,0.3,15.3,0.7,0.0
2022-03,NER002,4.0,69.1,0.1,28.7,2.1,0.0
2022-03,NER003,35.3,83.9,0.1,15.6,0.4,0.0
2022-03,NER004,5.6,47.0,0.0,49.8,3.2,0.0
2022-03,NGA001,100.0,90.6,3.0,5.2,1.1,0.0
2022-03,NGA003,7.5,93.7,0.0,6.3,0.0,0.0
2022-03,NGA004,7.1,0.0,42.5,40.8,16.1,0.6
2022-03,NGA007,17.3,89.7,0.0,10.3,0.0,0.0
2022-03,NGA008,6.1,99.5,0.0,0.5,0.0,0.0
2022-03,NIC001,100.0,,,,0.0,0.0
2022-03,PAK001,100.0,70.0,25.2,4.3,0.5,0.0
2022-03,PAK004,1.9,,,,,
2022-03,PAN002,2.8,21.3,1.6,77.0,0.0,0.0
2022-03,PER002,32.3,80.7,3.4,15.9,0.0,0.0
2022-03,PHL001,41.2,73.0,21.0,5.9,0.0,0.0
2022-03,PHL003,24.1,99.0,0.0,1.0,0.0,0.0
2022-03,PHL010,17.1,36.6,50.6,12.9,0.0,0.0
2022-03,POL002,6.7,12.3,87.7,0.0,0.0,0.0
2022-03,PRK001,100.0,0.0,58.9,19.4,21.3,0.0
2022-03,PSE002,100.0,12.0,44.0,38.0,6.0,0.0
2022-04,AFG001,100.0,14.1,27.5,36.1,22.2,0.0
2022-04,AGO002,8.3,19.8,30.7,37.6,11.9,0.0
2022-04,ARM002,100.0,95.0,0.6,2.2,0.0,0.0
2022-04,AZE002,58.7,,,,,
2022-04,BDI001,100.0,0.0,86.2,13.0,0.8,0.0
2022-04,BFA002,16.7,2.3,56.8,27.9,5.0,8.1
2022-04,BGD002,1.0,0.0,2.8,97.2,0.0,0.0
2022-04,BRA001,25.6,97.5,1.6,0.9,0.0,0.0
2022-04,BRA002,0.3,41.7,10.6,47.8,0.0,0.0
2022-04,BRA003,25.3,98.2,1.6,0.2,0.0,0.0
2022-04,CAF001,100.0,0.0,42.9,18.4,38.8,0.0
2022-04,CHL002,57.5,94.4,1.2,4.4,0.0,0.0
2022-04,CMR001,100.0,83.2,1.3,7.7,7.7,0.0
2022-04,CMR002,12.0,61.4,0.0,29.5,9.1,0.0
2022-04,CMR003,36.6,83.4,0.1,11.1,5.4,0.0
2022-04,CMR004,21.9,86.6,2.1,11.3,0.0,0.0
2022-04,COD001,26.3,5.6,35.2,46.3,10.7,2.2
2022-04,COG001,100.0,78.6,0.0,21.4,0.0,0.0
2022-04,COL001,100.0,78.2,6.7,8.8,5.7,0.6
2022-04,COL002,45.0,76.0,3.0,21.0,0.0,0.0
2022-04,CRI002,33.3,95.0,2.5,2.5,0.0,0.0
2022-04,DJI001,100.0,39.6,38.0,19.7,2.6,0.0
2022-04,DJI002,100.0,96.6,0.0,3.5,0.0,0.0
2022-04,DJI003,100.0,43.0,38.0,16.3,2.6,0.0
2022-04,DOM002,100.0,98.8,0.3,0.9,0.0,0.0
2022-04,DZA002,100.0,,,,,
2022-04,DZA003,0.5,22.0,37.7,40.4,0.0,0.0
2022-04,DZA004,100.0,,,,,
2022-04,ECU002,51.1,86.7,1.8,11.5,0.0,0.0
2022-04,EGY002,23.2,93.8,4.0,0.7,1.5,0.0
2022-04,ERI001,100.0,20.0,0.0,80.0,0.0,0.0
2022-04,ESP002,25.5,99.0,0.0,1.0,0.0,0.0
2022-04,ETH001,100.0,0.0,77.3,0.9,16.5,5.2
2022-04,ETH003,100.0,82.9,16.3,0.8,0.0,0.0
2022-04,ETH004,29.4,0.0,69.2,22.6,6.9,1.3
2022-04,ETH005,60.3,87.2,12.1,0.7,0.0,0.0
2022-04,GRC002,3.8,59.6,35.8,4.6,0.0,0.0
2022-04,GTM001,100.0,66.7,11.1,19.3,1.0,1.9
2022-04,HND001,100.0,57.4,7.5,28.5,6.5,0.0
2022-04,HTI001,100.0,36.2,17.4,23.4,13.8,9.2
2022-04,HTI002,59.0,87.6,2.3,10.1,0.0,0.0
2022-04,HUN002,5.1,22.3,77.7,0.0,0.0,0.0
2022-04,IDN002,1.5,97.2,0.0,2.8,0.0,0.0
2022-04,IND002,0.9,100.0,,,,
2022-04,IRN004,29.9,86.3,0.0,3.2,10.5,0.0
2022-04,IRQ001,98.5,86.2,7.0,5.5,0.9,0.4
2022-04,IRQ002,98.5,86.9,6.9,5.3,0.6,0.3
2022-04,IRQ003,12.5,89.9,0.6,6.1,3.0,0.4
2022-04,ITA002,10.9,97.0,0.0,3.0,0.0,0.0
2022-04,JOR002,80.6,78.9,12.2,7.1,1.8,0.0
2022-04,KEN001,31.0,6.4,72.0,18.7,3.0,0.0
2022-04,KEN002,2.0,50.7,0.0,49.3,0.0,0.0
2022-04,KEN003,31.0,6.9,74.7,15.5,3.0,0.0
2022-04,LBN002,100.0,8.0,69.6,11.4,10.3,0.7
2022-04,LBN004,100.0,8.0,45.0,27.7,18.7,0.7
2022-04,LBY001,100.0,81.7,8.5,9.7,0.1,0.0
2022-04,LBY002,100.0,85.6,2.9,3.3,0.0,0.0
2022-04,LSO002,70.3,41.3,35.8,21.1,1.8,0.0
2022-04,MAR002,97.6,,,,,
2022-04,MDA002,7.5,53.2,46.8,0.0,0.0,0.0
2022-04,MDG001,100.0,83.3,10.6,4.9,1.2,0.0
2022-04,MDG002,23.5,44.1,30.1,20.5,5.3,0.0
2022-04,MDG006,100.0,96.4,3.5,0.1,0.0,0.0
2022-04,MEX001,100.0,99.7,0.3,,,
2022-04,MEX002,103.8,99.7,0.3,,,
2022-04,MEX003,104.4,99.4,0.6,0.0,0.0,0.0
2022-04,MLI001,100.0,42.6,28.5,18.1,10.8,0.0
2022-04,MMR001,100.0,72.0,1.8,13.3,12.7,0.3
2022-04,MMR002,6.7,30.1,27.7,0.0,42.3,0.0
2022-04,MMR003,15.3,64.3,0.0,9.3,24.6,1.8
2022-04,MMR004,78.1,77.0,0.0,15.2,7.8,0.0
2022-04,MOZ001,70.7,46.6,41.2,12.1,0.1,0.0
2022-04,MOZ004,35.7,0.0,85.1,14.7,0.2,0.0
2022-04,MOZ008,62.6,94.3,0.0,5.7,0.0,0.0
2022-04,MRT002,2.3,11.6,0.0,89.5,0.0,0.0
2022-04,MRT003,100.0,63.2,24.9,11.4,0.0,0.0
2022-04,MWI002,100.0,83.7,4.2,1.0,0.0,0.0
2022-04,MWI004,88.9,97.6,2.0,0.5,0.0,0.0
2022-04,MYS001,30.9,0.0,98.2,1.8,0.0,0.0
2022-04,NAM002,100.4,37.8,32.8,24.8,4.7,0.0
2022-04,NER001,100.0,83.7,0.3,15.3,0.7,0.0
2022-04,NER002,4.0,69.1,0.1,28.7,2.1,0.0
2022-04,NER003,35.3,83.9,0.1,15.6,0.4,0.0
2022-04,NER004,5.6,47.0,0.0,49.8,3.2,0.0
2022-04,NGA001,100.0,90.6,3.0,5.2,1.1,0.0
2022-04,NGA003,7.5,93.7,0.0,6.3,0.0,0.0
2022-04,NGA004,7.1,0.0,42.5,40.8,16.1,0.6
2022-04,NGA007,17.3,89.7,0.0,10.3,0.0,0.0
2022-04,NGA008,6.1,99.5,0.0,0.5,0.0,0.0
2022-04,NIC001,100.0,97.5,2.5,0.0,0.0,0.0
2022-04,PAK001,100.0,70.0,25.2,4.3,0.5,0.0
2022-04,PAK004,1.9,,,,,
2022-04,PAN002,2.8,21.3,1.6,77.0,0.0,0.0
2022-04,PER002,32.3,80.7,3.4,15.9,0.0,0.0
2022-04,PHL001,41.2,73.0,21.0,5.9,0.0,0.0
2022-04,PHL003,24.1,99.0,0.0,1.0,0.0,0.0
2022-04,PHL010,17.1,36.6,50.6,12.9,0.0,0.0
2022-04,POL002,6.7,12.3,87.7,0.0,0.0,0.0
2022-04,PRK001,100.0,0.0,58.9,19.4,21.3,0.0
2022-04,PSE002,100.0,12.0,44.0,38.0,6.0,0.0
2022-05,AFG001,100.0,14.1,27.5,36.1,22.2,0.0
2022-05,AGO002,8.3,19.8,30.7,37.6,11.9,0.0
2022-05,ARM002,100.0,95.0,0.6,2.2,0.0,0.0
2022-05,AZE002,58.5,,,,,
2022-05,BDI001,100.0,0.0,86.2,13.0,0.8,0.0
2022-05,BFA002,16.7,2.3,56.8,27.9,5.0,8.1
2022-05,BGD002,0.9,0.3,2.7,100.0,0.0,0.0
2022-05,BRA001,25.6,97.5,1.6,0.9,0.0,0.0
2022-05,BRA002,0.3,41.7,10.6,47.8,0.0,0.0
2022-05,BRA003,25.3,98.2,1.6,0.2,0.0,0.0
2022-05,CAF001,100.0,0.0,42.9,18.4,44.9,0.0
2022-05,CHL002,57.5,94.4,1.2,4.4,0.0,0.0
2022-05,CMR001,100.0,83.2,1.3,7.7,7.7,0.0
2022-05,CMR002,12.0,61.4,0.0,29.5,9.1,0.0
2022-05,CMR003,36.6,83.4,0.1,11.1,5.4,0.0
2022-05,CMR004,21.9,86.6,2.1,11.3,0.0,0.0
2022-05,COD001,26.3,5.6,35.2,46.3,10.7,2.2
2022-05,COG001,100.0,78.6,0.0,21.4,0.0,0.0
2022-05,COL001,100.0,78.2,6.7,8.8,5.7,0.6
2022-05,COL002,45.0,76.0,3.0,21.0,0.0,0.0
2022-05,CRI002,33.3,95.0,2.5,2.5,0.0,0.0
2022-05,DJI001,100.0,42.4,41.2,15.9,0.5,0.0
2022-05,DJI002,100.0,96.5,0.0,3.5,0.0,0.0
2022-05,DJI003,100.0,45.9,41.2,12.4,0.5,0.0
